epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,437.87,1.52158,3.31829,1.54947,0.29082,0.27748,0.18779,0.12001,1.57469,2.50146,1.59433,0.000184887,0.000184887,0.000184887
2,879.462,1.50182,2.52416,1.51097,0.20706,0.42706,0.28441,0.16953,1.57618,2.30639,1.51631,0.00036289,0.00036289,0.00036289
3,1357.91,1.48424,2.34593,1.47978,0.19789,0.42643,0.24875,0.14439,1.67066,2.42416,1.54772,0.000533553,0.000533553,0.000533553
4,1853.35,1.45624,2.19891,1.45044,0.25723,0.4283,0.29359,0.17571,1.55815,1.95448,1.50096,0.000522974,0.000522974,0.000522974
5,2279.41,1.43137,2.12155,1.43,0.24726,0.47772,0.3179,0.19453,1.51749,1.85543,1.4721,0.000511965,0.000511965,0.000511965
6,2715.82,1.41094,2.016,1.40361,0.37246,0.49838,0.40634,0.25537,1.49143,1.66449,1.45261,0.000500956,0.000500956,0.000500956
7,3110.77,1.37672,1.9513,1.39184,0.43781,0.50965,0.47655,0.30141,1.44096,1.50884,1.38784,0.000489947,0.000489947,0.000489947
8,6952.99,1.37439,1.89184,1.37779,0.38406,0.48791,0.46174,0.29813,1.4317,1.56067,1.40305,0.000478938,0.000478938,0.000478938
9,7461.12,1.35556,1.85213,1.37186,0.45186,0.55503,0.51639,0.3552,1.40977,1.54151,1.37037,0.00046793,0.00046793,0.00046793
10,7947.62,1.337,1.80621,1.3653,0.4649,0.56639,0.52927,0.35409,1.41144,1.43429,1.37079,0.000456921,0.000456921,0.000456921
11,8363.45,1.32354,1.77028,1.35109,0.41408,0.56028,0.51649,0.3381,1.38699,1.38272,1.34557,0.000445912,0.000445912,0.000445912
12,8758.35,1.31683,1.74109,1.34234,0.47704,0.57263,0.53749,0.35737,1.37874,1.29587,1.32746,0.000434903,0.000434903,0.000434903
13,9251.68,1.28784,1.67547,1.32357,0.46995,0.56806,0.55543,0.36734,1.38267,1.344,1.35218,0.000423894,0.000423894,0.000423894
14,9737.45,1.28166,1.66544,1.3239,0.52378,0.6119,0.58692,0.38892,1.35549,1.27093,1.32381,0.000412886,0.000412886,0.000412886
