epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6685,1.51892,3.35269,1.54146,0.27658,0.23732,0.16626,0.10719,1.55435,2.11889,1.53451,0.000184747,0.000184747,0.000184747
2,103.56,1.48068,2.47664,1.48535,0.26802,0.35298,0.24018,0.13714,1.65181,1.98178,1.55851,0.000362753,0.000362753,0.000362753
3,162.85,1.48594,2.30137,1.47616,0.22512,0.31079,0.22156,0.13131,1.60215,1.95018,1.5128,0.000533419,0.000533419,0.000533419
4,245.83,1.45973,2.18899,1.44565,0.38706,0.36878,0.3268,0.1984,1.52792,1.87126,1.48481,0.000522974,0.000522974,0.000522974
5,305.399,1.42543,2.07276,1.41988,0.36251,0.49644,0.39039,0.24346,1.50195,1.60351,1.45639,0.000511965,0.000511965,0.000511965
6,363.852,1.40846,1.98994,1.4056,0.37514,0.42063,0.37511,0.22893,1.49722,1.62664,1.45162,0.000500956,0.000500956,0.000500956
7,417.075,1.37899,1.92223,1.39132,0.36765,0.54058,0.4572,0.30463,1.41417,1.47864,1.38586,0.000489947,0.000489947,0.000489947
8,469.022,1.36699,1.86845,1.37884,0.41842,0.45067,0.43682,0.29318,1.4005,1.46908,1.37413,0.000478938,0.000478938,0.000478938
9,541.536,1.33804,1.8172,1.35519,0.50684,0.49091,0.47325,0.30108,1.4311,1.3612,1.35564,0.00046793,0.00046793,0.00046793
10,612.204,1.32148,1.76386,1.34279,0.43573,0.57456,0.52804,0.345,1.36058,1.33208,1.34294,0.000456921,0.000456921,0.000456921
11,690.502,1.31608,1.71587,1.34068,0.44372,0.56027,0.53101,0.35928,1.36779,1.2799,1.32597,0.000445912,0.000445912,0.000445912
12,763.222,1.3001,1.68316,1.32869,0.49616,0.52821,0.49679,0.329,1.4049,1.38921,1.37267,0.000434903,0.000434903,0.000434903
13,831.118,1.29176,1.65178,1.31891,0.55254,0.51008,0.5429,0.3702,1.37843,1.31776,1.3192,0.000423894,0.000423894,0.000423894
14,910.803,1.28244,1.6314,1.31642,0.44246,0.59446,0.53409,0.35772,1.38093,1.28675,1.31875,0.000412886,0.000412886,0.000412886
15,985.401,1.27448,1.60924,1.31364,0.54124,0.59644,0.61558,0.42487,1.31967,1.1692,1.28768,0.000401877,0.000401877,0.000401877
16,1042.6,1.25597,1.5654,1.29378,0.55252,0.63305,0.6233,0.4178,1.31602,1.13561,1.27953,0.000390868,0.000390868,0.000390868
17,1098.37,1.2462,1.54789,1.29236,0.58761,0.58726,0.62493,0.4233,1.31656,1.1363,1.28392,0.000379859,0.000379859,0.000379859
